driverId,name,ssn,location,certified,wage-plan
10,Timothy Perez,788-09-8108,"844 Tran Fields Suite 749
North Robinfurt, WA 17406",Y,hours
11,Alexis Dominguez,265-72-5158,"225 Charles Shoal Suite 424
Michaelstad, AS 95321",N,miles
12,Linda Steele,628-91-3685,"397 Susan Street Apt. 365
South Sharon, NY 63247",N,hours
13,Kimberly Fleming,362-53-0057,"6860 Denise Route Suite 348
West Bradleybury, ME 27442",Y,miles
14,Amy Lynn,248-24-0710,"114 Yang Spur
Port Cynthiatown, DE 65776",N,hours
15,Brandy Crawford,626-77-0634,"773 Ashley Brook Suite 817
Port Ashleyside, UT 17104",Y,hours
16,Isaac Wade,623-95-5139,"3969 Carey Rest Apt. 348
Ryanbury, NC 44485",N,hours
17,Michael Holt Jr.,161-96-7500,"65688 Johnson Square Suite 909
Hawkinsberg, WV 53224",Y,hours
18,Jennifer Wood,130-75-4339,"6261 Jacobs Key Suite 202
South Amy, UT 58996",Y,hours
19,Kevin Miller,103-86-5545,"62335 Laura Prairie
Lake Ernestton, VI 04857",N,miles
20,Michael Moran,198-90-1372,"PSC 0410, Box 3500
APO AA 84819",Y,miles
21,Dawn Ramsey,316-02-5450,"83413 David Walk Apt. 846
Hodgesview, TX 76120",N,miles
22,Stephen Adams,477-30-8776,"06416 Ferguson Underpass Suite 912
Ramosbury, MO 43760",N,miles
23,Joseph Davis,838-09-6444,"USCGC Carter
FPO AE 51502",N,miles
24,Benjamin Gutierrez,286-42-0429,"175 Dean Road Apt. 600
Harrisstad, ME 82458",Y,miles
25,Natalie Franklin,817-08-7294,"71180 Thompson Cove Apt. 947
Snyderport, KY 39103",N,hours
26,Manuel Henry,546-17-1767,"3585 Haynes Knolls Apt. 994
Port Kristiton, PW 13598",N,miles
27,Oscar Clark,811-70-6636,"87014 Michelle Meadow Apt. 758
Port Christinaville, MP 95526",N,hours
28,Victoria Lopez,093-03-5867,"370 David Fort
Delgadohaven, AK 79895",Y,miles
29,Connie Rodriguez,350-52-7779,"2877 Maria Corner
Marthaside, FM 35532",Y,miles
30,Jessica Sexton,393-48-3999,"4202 Raymond Course
Russellton, AZ 76504",Y,hours
31,Kristina Gordon,581-13-7528,"470 Coleman Junctions
Evansmouth, GA 22650",N,hours
32,Matthew Jones,744-66-0620,"Unit 2920 Box 7280
DPO AA 53320",N,miles
33,Ashley Contreras,842-98-3933,"579 Joanna Gardens Apt. 550
Josephfort, DE 90995",N,miles
34,Angela Costa,239-43-8218,"76814 Smith Falls
Josephfurt, GA 11983",Y,miles
